"X","Y"
1,1510.80657875281
2,1510.81509464973
3,1510.81234297271
4,1510.81453455193
5,1510.81109473336
6,1510.81682408243
7,1510.80776938228
8,1510.81620562051
9,1510.81140315829
10,1510.79858300335
11,1510.80963655751
12,1510.81718891386
13,1510.80067502204
14,1510.82041825679
15,1510.81014357932
16,1510.81050097456
17,1510.8131790431
18,1510.81403457475
19,1510.80171651231
20,1510.8077769187
21,1510.8131608365
22,1510.80787811005
23,1510.80956184938
24,1510.80984290811
25,1510.80592375666
26,1510.81132826437
27,1510.80764579933
28,1510.81062395368
29,1510.81033597418
30,1510.80401228433
31,1510.81229732882
32,1510.80760987932
33,1510.80611187065
34,1510.81018161836
35,1510.8068090444
36,1510.80792614135
37,1510.80970597594
38,1510.81062659277
39,1510.82022239651
40,1510.81125009356
41,1510.81055556209
42,1510.80453579304
43,1510.80980633768
44,1510.80300239005
45,1510.81211733133
46,1510.81294250075
47,1510.80467726892
48,1510.81005759638
49,1510.80339222355
50,1510.81636119767
51,1510.8110861134
52,1510.81561500143
53,1510.80995587108
54,1510.81329414855
55,1510.80562100658
56,1510.81064526008
57,1510.81037947496
58,1510.80716158476
59,1510.80143131878
60,1510.80296572023
61,1510.80726208791
62,1510.80306611034
63,1510.80655919258
64,1510.79752144129
65,1510.81046168966
66,1510.80404102972
67,1510.80696900485
68,1510.80822349766
69,1510.79691588284
70,1510.80695434062
71,1510.80703901546
72,1510.80347423656
73,1510.80449612374
74,1510.81195039085
75,1510.80626012351
76,1510.80361716992
77,1510.80954684428
78,1510.81375561715
79,1510.80664700855
80,1510.80734614925
81,1510.8087095842
82,1510.81185207397
83,1510.80745479379
84,1510.80374156233
85,1510.79967150521
86,1510.80017775897
87,1510.79906511306
88,1510.80180359698
89,1510.80479801872
90,1510.80220299759
91,1510.81141473045
92,1510.80604745836
93,1510.80242552382
94,1510.80498961533
95,1510.80249094933
96,1510.79772879837
97,1510.80012408496
98,1510.80263547976
99,1510.79983011779
100,1510.8068149029
101,1510.7980778289
102,1510.80251713754
103,1510.80162761428
104,1510.80702139868
105,1510.80486757414
106,1510.79702409803
107,1510.78413000058
108,1510.80493755751
109,1510.79969395026
110,1510.79788275075
111,1510.80352567833
112,1510.80550418827
